timestamp,rtt_ms,loss_%,download_mbps,upload_mbps
2025-04-25 10:14:10,20.102262496948242,0,160.4278529734639,121.37193962330718
2025-04-25 10:14:45,21.26288414001465,0,164.7437168061842,116.43150628072338
2025-04-25 10:15:19,19.64592933654785,0,140.49826971105838,118.4499147275182
2025-04-25 10:15:54,20.587444305419922,0,159.5452809133795,118.43754646357493
2025-04-25 10:16:28,20.463943481445312,0,109.44427227456264,109.83807174434308
2025-04-25 10:17:02,21.299362182617188,0,142.65925163752465,117.02019202149347
2025-04-25 10:17:35,19.942522048950195,0,165.22966850457811,124.20396272093882
2025-04-25 10:18:09,20.36309242248535,0,186.1292780793189,118.61761193226006
2025-04-25 10:18:41,20.235061645507812,0,202.86340191119731,142.32433122207274
2025-04-25 10:19:16,30.493736267089844,0,178.76890626253234,112.3371501893416
2025-04-25 10:19:48,22.93992042541504,0,174.98656559965895,140.31308859410194
2025-04-25 10:20:22,24.08146858215332,0,121.80830490400506,119.39015610468759
2025-04-25 10:20:57,21.453380584716797,0,194.12443446091285,115.83384740441872
2025-04-25 10:21:31,26.768922805786133,0,98.4431540580553,111.09250886543506
2025-04-25 10:22:05,20.80988883972168,0,141.53031428387277,101.37851290516758
2025-04-25 10:22:39,24.47223663330078,0,124.91767533154317,121.00221384659758
2025-04-25 10:23:13,19.34337615966797,0,139.2524472162715,104.08839871329178
2025-04-25 10:23:47,24.07693862915039,0,104.25021193602626,69.20188413820179
2025-04-25 10:24:21,20.370960235595703,0,132.517254180621,112.2864797885855
2025-04-25 10:24:55,22.54033088684082,0,157.84340437451132,113.93494593632374
2025-04-25 10:25:30,24.828672409057617,0,147.0112752237534,115.36796210936039
2025-04-25 10:26:03,20.53689956665039,0,64.4647577353564,120.5200496589777
2025-04-25 10:26:38,1611.3102436065674,0,189.76637702090753,127.09129798264065
2025-04-25 10:27:13,20.69544792175293,0,163.27810306233673,119.12106264151667
2025-04-25 10:27:47,21.990060806274414,0,151.79754600236217,117.13368129471341
2025-04-25 10:28:20,22.67599105834961,0,129.95718111103582,125.16363232908608
2025-04-25 10:28:54,21.679162979125977,0,180.9544609602465,118.32619577908137
2025-04-25 10:29:28,21.857738494873047,0,161.84464587694035,119.64614438107402
2025-04-25 10:30:02,21.770000457763672,0,167.2710132699415,101.3202170417131
2025-04-25 10:30:37,18.723726272583008,0,144.44519770611677,71.504193309251
2025-04-25 10:31:11,19.713878631591797,0,131.80338123322616,97.35466932348301
2025-04-25 10:31:45,20.766258239746094,0,104.79164618953526,111.67424015518137
2025-04-25 10:32:19,19.584178924560547,0,105.80996785273398,101.90783667563458
2025-04-25 10:32:52,20.11871337890625,0,109.27152645819952,105.82110211651201
2025-04-25 10:33:26,19.100189208984375,0,111.00847112451588,118.08089580004483
2025-04-25 10:34:00,19.285917282104492,0,116.03147883792317,116.87430357298649
2025-04-25 10:34:34,20.381689071655273,0,84.9063742409418,111.22817565122962
2025-04-25 10:35:07,20.65730094909668,0,129.14833884507502,109.62279030130523
2025-04-25 10:35:42,18.903255462646484,0,128.59237925288184,84.61141056648769
2025-04-25 10:36:15,21.73638343811035,0,129.47519516528968,117.58647516331526
2025-04-25 10:36:49,24.552345275878906,0,113.62677094088784,116.09316562579126
2025-04-25 10:37:23,20.17045021057129,0,130.27021987542102,105.2853550169056
2025-04-25 10:37:56,20.93982696533203,0,124.10895798458507,110.712852002322
2025-04-25 10:38:30,22.031545639038086,0,118.26875970197244,116.26947948313749
2025-04-25 10:39:04,19.4854736328125,0,115.67525121730961,118.37195049405658
2025-04-25 10:39:38,20.913124084472656,0,108.11569031029968,111.73278076181452
2025-04-25 10:40:12,17.73667335510254,0,123.0673379807967,94.88639685634948
2025-04-25 10:40:46,21.870136260986328,0,114.15095528362241,109.48019521525197
2025-04-25 10:41:20,19.507169723510742,0,128.39537420315204,114.32800374971781
2025-04-25 10:41:53,18.913745880126953,0,135.92626884063588,111.69737786397299
2025-04-25 10:42:27,21.05545997619629,0,70.94107146275996,115.75680391575764
2025-04-25 10:43:01,21.256446838378906,0,133.95997259659865,109.6415252835575
2025-04-25 10:43:35,43.352365493774414,0,138.3779125027783,116.4918829949846
2025-04-25 10:44:09,19.57392692565918,0,146.22879749854997,107.0601615204498
2025-04-25 10:44:43,19.647836685180664,0,134.690765949577,103.3561718780244
2025-04-25 10:45:17,40.73834419250488,0,138.55849194421623,105.0744324814824
2025-04-25 10:45:51,18.41259002685547,0,114.9220119018877,115.65745185488329
2025-04-25 10:46:25,20.09296417236328,0,128.2384381007107,101.35554973580739
2025-04-25 10:46:59,23.874521255493164,0,123.64954587077749,108.59567146245723
2025-04-25 10:47:32,18.886327743530273,0,146.39590852482175,101.02750373763591
2025-04-25 10:48:06,22.701740264892578,0,129.71379890114406,112.45293234993807
2025-04-25 10:48:40,18.305063247680664,0,113.68262788399676,108.67175708777384
2025-04-25 10:49:14,27.590274810791016,0,149.55738601347267,121.19200766288998
2025-04-25 10:49:48,20.180940628051758,0,129.74690603830314,100.24413556818725
2025-04-25 10:50:22,18.904447555541992,0,122.88179555910355,114.88035765520695
2025-04-25 10:50:55,18.8443660736084,0,132.20828917202653,86.54643464149294
2025-04-25 10:51:29,19.21820640563965,0,93.19335026217847,101.23863506401474
2025-04-25 10:52:03,20.171642303466797,0,112.5628683728982,83.86468852449791
2025-04-25 10:52:37,18.840551376342773,0,125.57294617361974,105.01471033337243
2025-04-25 10:53:10,22.16958999633789,0,123.84558127077084,92.50303809405881
2025-04-25 10:53:44,20.404577255249023,0,103.31853190233949,99.34442534234731
